title,release,day_audience,total_audience,screen,Nationality,distributor,grade,genre,director,actor,date,day,weekday,holiday
쥬라기월드,2015-06-11,7032,5513672,228,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린트레보로우,"크리스프랫,주디그리어,브라이스달라스하워드,케이티맥그라스,제이크존슨,빈센트도노프리오",2015-07-20,40,월요일,0
지금은맞고그때는틀리다,2015-09-24,235,76021,14,한국,"(주)영화제작전원사,(주)넥스트엔터테인먼트월드(NEW)",청소년관람불가,드라마,홍상수,"정재영,김민희,윤여정,기주봉,최화정,유준상,서영화,고아성",2015-11-02,40,월요일,0
짱구는못말려극장판정면승부!로봇아빠의역습,2015-04-23,51,150170,1,일본,(주)이수C&E,전체관람가,"애니메이션,코미디,어드벤처",다카하시와타루,NA,2015-05-31,39,일요일,1
찌라시위험한소문,2014-02-20,201,1221214,4,한국,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",김광식,"김강우,고창석,박성웅,이진호,이현민,이현민,박정우,박진수,서병덕,임준혁,장한얼,신현수,정문구,정승아,정자영,유지연,정희중,조아라,윤석진,고태영,이경훈,최선규,이상미,이성재,이정호,이종혁,이준혁,이지은,김도형,김민호,김범준,김진성,문호진,민정기,이채은,정진영,진선규,장광,김의성,배용근",2014-03-26,35,수요일,0
차이나타운,2015-04-29,19,1471875,5,한국,CGV아트하우스,청소년관람불가,"범죄,드라마",한준희,"김혜수,김고은,엄태구,박보검,고경표,오대환,배유람,이혁준,백동현,조경섭,권지훈,김경애,오유진,우종현,유지현,김성종,이상희,이수경,김수안,정석용,이대연,이루리,안재홍,기주봉,조복래,이민지",2015-06-07,40,일요일,1
창문넘어도망친100세노인,2014-06-18,101,239822,3,스웨덴,(주)영화사빅,15세이상관람가,"어드벤처,코미디,드라마",플렉스할그렌,"로버트구스타프슨,이와위클란더,앨런포드",2014-07-27,40,일요일,1
채피,2015-03-12,108,571985,2,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,"액션,스릴러",닐블롬캠프,"휴잭맨,샬토코플리,시고니위버,데브파텔",2015-04-20,40,월요일,0
천재강아지미스터피바디,2014-04-24,127,382550,2,미국,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,가족",롭민코프,"티버렐,맥스찰스,에리얼윈터,레슬리만,스탠리투치,스티븐토보로스키,앨리슨제니",2014-06-02,40,월요일,0
최강전사미니특공대새로운악당의습격,2015-02-05,36,155274,2,한국,에이원엔터테인먼트,전체관람가,애니메이션,이영준,"엄상현,전태열,신용우",2015-03-15,39,일요일,1
최강전사미니특공대영웅의탄생,2016-02-04,4,116347,1,한국,(주)삼지애니메이션,전체관람가,애니메이션,이영준,"엄상현,양정화,전태열",2016-03-14,40,월요일,0
최악의하루,2016-08-25,143,80118,13,한국,CGV아트하우스,15세이상관람가,멜로/로맨스,김종관,"한예리,이와세료,권율,이희준,이승연,강숙",2016-10-03,40,월요일,1
카트,2014-11-13,632,810036,5,한국,(주)리틀빅픽쳐스,12세이상관람가,드라마,부지영,"염정아,문정희,김영애,김강우,이승준,도경수,김민경,김선간,김지은,김지현,김현,이고운,이승준,이주현,이지혜,김수안,지우,길해연,황정민,김희원,박미현",2014-12-22,40,월요일,0
카페소사이어티,2016-09-14,278,124904,8,미국,CGV아트하우스,15세이상관람가,"멜로/로맨스,드라마",우디앨런,"제시아이젠버그,크리스틴스튜어트,스티브카렐,블레이크라이블리",2016-10-23,40,일요일,1
캐롤,2016-02-04,273,312199,13,미국,CGV아트하우스,청소년관람불가,드라마,토드헤인즈,"케이트블란쳇,루니마라,카일챈들러,제이크레이시,사라폴슨",2016-03-14,40,월요일,0
캐리비안의해적죽은자는말이없다,2017-05-24,1146,3047828,28,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,"액션,어드벤처,판타지,코미디","요아킴뢰닝,에스펜샌버그","조니뎁,카야스코델라리오,올랜도블룸,하비에르바르뎀,브렌튼스웨이츠,제프리러쉬,데이빗웬햄,골시프테파라하니,스티븐그레이엄,케빈맥널리,폴매카트니,마틴클레바,로드니아피프",2017-07-02,40,일요일,1
캡틴아메리카시빌워,2016-04-27,3779,8670579,46,미국,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF,스릴러","안소니루소,조루소","크리스에반스,로버트다우니주니어,스칼렛요한슨,세바스찬스탠,안소니마키,돈치들,제레미레너,톰홀랜드",2016-06-05,40,일요일,1
캡틴아메리카윈터솔져,2014-03-26,6061,3934690,49,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,"액션,어드벤처,SF","조루소,안소니루소","크리스에반스,스칼렛요한슨,사무엘L.잭슨,로버트레드포드",2014-05-04,40,일요일,1
컨저링2,2016-06-09,1371,1925684,65,미국,워너브러더스코리아(주),15세이상관람가,공포(호러),제임스완,"베라파미가,패트릭윌슨,프란카포텐테,프란시스오코너,스털링제린스",2016-07-18,40,월요일,0
