title,aud_total,holiday,drama,comedy,advanture,criminal.thrill,documentary,horror,family,etc,series,aud_18,director,distributor_value,expect,positive,comp_3,first_day_aud,screen
가디언즈오브갤럭시,1125420,0,0,0,1,0,0,0,0,0,0,0,0,0,7337,0.982413179,4,247038,1036
말레피센트,1143315,0,0,0,1,0,0,0,0,0,0,0,0,0,4072,0.944874275,6,136463,907
우아한거짓말,1157903,0,1,0,0,0,0,0,0,0,0,0,2,0,163,0.930875576,2,147663,972
해빙,1165206,0,0,0,0,1,0,0,0,0,0,0,0,3,8972,0.579449153,2,476506,1630
장산범,1197809,0,0,0,0,1,0,0,0,0,0,0,1,2,7814,0.822368421,3,257299,1275
인간중독,1217531,0,1,0,0,0,0,0,0,0,0,1,2,2,5486,0.578947368,2,201434,1179
쎄시봉,1226283,1,0,1,0,0,0,0,0,0,0,0,2,3,12076,0.864485981,6,217607,1530
셜록유령신부,1239387,0,1,0,0,1,0,0,0,0,0,0,0,0,12494,0.777138749,7,665162,1722
에이리언커버넌트,1259506,0,0,0,0,1,0,0,0,0,1,0,0,2,7635,0.91800554,2,362373,1610
탐정홍길동사라진마을,1262915,0,1,0,0,0,0,0,0,0,0,0,1,3,6179,0.90560472,4,284292,1357
이미테이션게임,1276268,1,1,0,0,1,0,0,0,0,0,0,0,0,7140,0.969373219,2,168629,891
벤허,1283858,1,1,0,1,0,0,0,0,0,0,0,0,3,1449,0.948801037,4,302734,1138
차이나타운,1304081,0,1,0,0,1,0,0,0,0,0,1,0,0,5953,0.816864295,5,185582,938
브이아이피,1346980,0,1,0,0,1,0,0,0,0,0,1,2,2,8614,0.720207254,2,341638,1748
특별시민,1349953,0,1,0,0,0,0,0,0,0,0,0,0,3,4647,0.848814229,5,305510,2286
제보자,1355080,0,1,0,0,0,0,0,0,0,0,0,1,0,3728,0.946107784,9,343033,1337
나를찾아줘,1376748,0,0,0,0,1,0,0,0,0,0,1,0,2,1592,0.934356351,4,163212,1131
해무(海霧),1399320,0,1,0,0,0,0,0,0,0,0,1,0,2,7489,0.815602837,4,346687,1164
컨저링2,1402102,0,0,0,0,0,0,1,0,0,1,0,0,2,7907,0.922621398,3,180030,969
노무현입니다,1405528,0,0,0,0,0,1,0,0,0,0,0,0,0,45099,0.99144385,3,181129,1239
인디펜던스데이리써전스,1437491,0,0,0,1,0,0,0,0,0,1,0,0,2,4825,0.848780488,2,286802,1717
엑소더스신들과왕들,1444198,0,1,0,0,0,0,0,0,0,0,0,0,2,4163,0.666666667,1,194354,1602
라라랜드,1457996,0,1,0,0,0,0,0,0,1,0,0,0,0,2499,0.967793095,4,136302,1415
더폰,1480792,0,0,0,0,1,0,0,0,0,0,0,0,2,5205,0.866666667,6,249020,1454
대호,1501596,0,0,0,0,0,0,0,0,0,0,0,1,2,8397,0.919574216,3,255144,1755
두근두근내인생,1511019,1,1,0,0,0,0,0,0,0,0,0,0,3,15718,0.782238443,6,176134,1217
샌안드레아스,1527621,0,1,0,0,0,0,0,0,0,0,0,0,2,3676,0.942307692,1,199041,1483
나의사랑나의신부,1543209,0,0,1,0,0,0,0,0,0,0,0,0,0,8499,0.94375,3,302282,1164
