title,eightdays_aud,drama,action,comedy,fantasy.SF,advanture,criminal.thrill,traditional,romance,documentary,horror,family,war,etc,series,holiday,aud_18,korea,usa,actors,director,distributor_value,expect,comp_before,comp_after,first_screen
덕수리5형제,171052,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1647,1,2,327
툼스톤,180068,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,1097,0,1,367
플립,191288,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10110,0,3,186
아이엠어히어로,179249,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1355,0,0,172
레전드,176103,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1823,0,5,434
언프렌디드친구삭제,179231,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4950,0,2,297
선오브갓,190591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2460,0,7,350
개를훔치는완벽한방법,183398,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,5046,0,3,205
남과여,182382,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,8,0,3,10545,3,3,424
연애의맛,186219,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,3,1176,0,2,390
쓰리데이즈투킬,189906,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,360,1,2,322
소셜포비아,191754,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5302,0,4,353
하늘을걷는남자,202517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,1338,3,4,379
독수리에디,190073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,1104,0,7,503
헤라클레스레전드비긴즈,194038,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,410,0,7,376
어느날,198408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3837,0,3,457
히든피겨스,208809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1921,0,5,419
레드카펫,205971,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4017,0,4,375
스파이브릿지,204921,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,878,0,4,351
아메리칸스나이퍼,211064,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1823,0,4,284
오큘러스,215781,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1603,0,6,282
혼숨,217435,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,4178,1,2,421
닌자터틀어둠의히어로,210756,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,2151,2,7,501
존윅-리로드,220625,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,4,0,0,1842,4,2,224
노벰버맨,220771,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,569,4,1,360
순정,227381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,31698,0,5,467
백투더비기닝,229105,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,479,0,3,363
런올나이트,235610,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,10,0,2,1118,2,3,362
비밀은없다,236971,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,11,0,3,3971,1,4,463
패딩턴,242690,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,3,1592,1,1,343
사랑에대한모든것,241554,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2704,0,2,384
구스범스,245631,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2541,0,4,447
극적인하룻밤,248824,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,2589,0,5,386
거울나라의앨리스,272918,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,16,0,0,7616,1,4,444
언브로큰,241245,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3318,0,4,364
싱스트리트,253974,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1449,3,2,465
투모로우랜드,243782,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1272,1,1,419
"러브,로지",246731,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2861,0,3,348
함정,242893,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,2023,1,3,359
미녀와야수,246759,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,2,8894,2,3,332
위자저주의시작,256615,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,879,2,1,353
인서전트,248923,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,3,3194,1,6,431
포인트브레이크,249239,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1262,4,3,352
하이힐,260212,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,3,3,2252,0,4,291
위대한소원,256048,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3408,0,4,521
빅쇼트,265982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,3,1085,2,2,394
도리화가,280379,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,0,3,12459,3,3,544
소수의견,293662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,5222,0,7,378
에베레스트,284437,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,1559,0,4,326
언더워터,289501,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1508,0,4,372
해어화,303873,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,3,9015,0,4,557
사랑하기때문에,295877,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,2,7040,0,4,496
계춘할망,302809,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,2,0,6385,0,6,483
주피터어센딩,295468,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1428,0,7,546
클로버필드10번지,301274,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1517,1,2,489
좋은친구들,314457,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,3,2153,4,7,348
그레이의50가지그림자,310207,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3757,1,4,512
숲속으로,317406,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,3514,1,1,351
"안녕,헤이즐",342665,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2251,2,7,252
싱글라이더,320079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,2,3838,4,2,554
석조저택살인사건,328584,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1987,1,2,493
위험한상견례2,333844,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,6,2,3,2757,3,2,341
무뢰한,330909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7,0,0,4059,2,2,482
내심장을쏴라,339201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6860,0,4,430
경성학교사라진소녀들,325199,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,8640,0,3,476
헬머니,335298,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,2,6556,0,5,368
보통사람,329602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2459,0,2,621
